Release,Date from,Date to,Distinct companies for top 1 committers,Distinct companies for top 2 committers,Distinct companies for top 3 committers,Distinct companies for top 5 committers,Distinct companies for top 10 committers,Distinct companies for top 15 committers,Distinct companies for top 20 committers,Distinct companies for top 25 committers,Distinct companies for top 30 committers,Distinct companies for top 50 committers,Distinct companies for top 100 committers,Distinct companies for top 200 committers,Distinct companies for top 500 committers,Distinct companies for top 1000 committers
2015-02-06,2/6/2015,3/6/2015,1,1,2,3,4,4,4,4,4,4,4,4,4,4
2015-03-06,3/6/2015,4/6/2015,1,1,1,3,3,3,3,3,3,3,3,3,3,3
2015-04-06,4/6/2015,5/6/2015,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2015-05-06,5/6/2015,6/6/2015,1,1,1,2,4,4,4,4,4,4,4,4,4,4
2015-06-06,6/6/2015,7/6/2015,1,1,2,3,5,5,5,5,5,5,5,5,5,5
2015-07-06,7/6/2015,8/6/2015,1,1,1,3,6,6,6,6,6,6,6,6,6,6
2015-08-06,8/6/2015,9/6/2015,1,1,2,4,4,4,4,4,4,4,4,4,4,4
2015-09-06,9/6/2015,10/6/2015,1,1,2,4,4,4,4,4,4,4,4,4,4,4
2015-10-06,10/6/2015,11/6/2015,1,1,2,4,5,5,5,5,5,5,5,5,5,5
2015-11-06,11/6/2015,12/6/2015,1,2,2,3,6,6,6,6,6,6,6,6,6,6
2015-12-06,12/6/2015,1/6/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
2016-01-06,1/6/2016,2/6/2016,1,2,3,4,6,6,6,6,6,6,6,6,6,6
2016-02-06,2/6/2016,3/6/2016,1,2,3,4,6,6,6,6,6,6,6,6,6,6
2016-03-06,3/6/2016,4/6/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
2016-04-06,4/6/2016,5/6/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
2016-05-06,5/6/2016,6/6/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
2016-06-06,6/6/2016,7/6/2016,1,2,3,5,6,6,6,6,6,6,6,6,6,6
2016-07-06,7/6/2016,8/6/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
2016-08-06,8/6/2016,9/6/2016,1,2,3,4,6,6,6,6,6,6,6,6,6,6
2016-09-06,9/6/2016,10/6/2016,1,2,3,5,6,6,6,6,6,6,6,6,6,6
2016-10-06,10/6/2016,11/6/2016,1,2,2,4,6,6,6,6,6,6,6,6,6,6
2016-11-06,11/6/2016,12/6/2016,1,2,3,4,5,5,5,5,5,5,5,5,5,5
2016-12-06,12/6/2016,1/6/2017,1,2,3,5,7,7,7,7,7,7,7,7,7,7
2017-01-06,1/6/2017,2/6/2017,1,2,3,5,7,7,7,7,7,7,7,7,7,7
2017-02-06,2/6/2017,3/6/2017,1,1,2,3,7,7,7,7,7,7,7,7,7,7
2017-03-06,3/6/2017,4/6/2017,1,2,3,4,7,8,8,8,8,8,8,8,8,8
2017-04-06,4/6/2017,5/6/2017,1,2,3,3,5,9,9,9,9,9,9,9,9,9
2017-05-06,5/6/2017,6/6/2017,1,2,3,4,7,8,8,8,8,8,8,8,8,8
2017-06-06,6/6/2017,7/6/2017,1,2,3,4,6,9,9,9,9,9,9,9,9,9
2017-07-06,7/6/2017,8/6/2017,1,2,3,5,6,9,9,9,9,9,9,9,9,9
2017-08-06,8/6/2017,9/6/2017,1,2,3,5,9,9,9,9,9,9,9,9,9,9
2017-09-06,9/6/2017,10/6/2017,1,2,3,4,9,10,11,11,11,11,11,11,11,11
2017-10-06,10/6/2017,11/6/2017,1,2,3,4,8,9,9,9,9,9,9,9,9,9
2017-11-06,11/6/2017,12/6/2017,1,2,3,5,9,10,10,10,10,10,10,10,10,10
2017-12-06,12/6/2017,1/6/2018,1,2,3,5,7,8,8,8,8,8,8,8,8,8
2018-01-06,1/6/2018,2/6/2018,1,2,3,5,7,9,9,9,9,9,9,9,9,9
2018-02-06,2/6/2018,3/6/2018,1,2,3,5,7,9,9,9,9,9,9,9,9,9
2018-03-06,3/6/2018,4/6/2018,1,2,3,5,8,8,8,8,8,8,8,8,8,8
2018-04-06,4/6/2018,5/6/2018,1,2,3,5,8,8,8,8,8,8,8,8,8,8
Quarter from 2014-01,1/1/2014,4/1/2014,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 2014-04,4/1/2014,7/1/2014,0,1,2,2,2,2,2,2,2,2,2,2,2,2
Quarter from 2014-07,7/1/2014,10/1/2014,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Quarter from 2014-10,10/1/2014,1/1/2015,0,1,1,2,2,2,2,2,2,2,2,2,2,2
Quarter from 2015-01,1/1/2015,4/1/2015,1,1,1,3,5,5,5,5,5,5,5,5,5,5
Quarter from 2015-04,4/1/2015,7/1/2015,1,1,1,2,5,5,5,5,5,5,5,5,5,5
Quarter from 2015-07,7/1/2015,10/1/2015,1,1,2,4,6,6,6,6,6,6,6,6,6,6
Quarter from 2015-10,10/1/2015,1/1/2016,1,2,2,4,7,7,7,7,7,7,7,7,7,7
Quarter from 2016-01,1/1/2016,4/1/2016,1,1,2,4,7,7,7,7,7,7,7,7,7,7
Quarter from 2016-04,4/1/2016,7/1/2016,1,2,3,5,8,8,8,8,8,8,8,8,8,8
Quarter from 2016-07,7/1/2016,10/1/2016,1,2,3,4,7,7,7,7,7,7,7,7,7,7
Quarter from 2016-10,10/1/2016,1/1/2017,1,2,3,4,7,7,7,7,7,7,7,7,7,7
Quarter from 2017-01,1/1/2017,4/1/2017,1,2,2,4,7,9,9,9,9,9,9,9,9,9
Quarter from 2017-04,4/1/2017,7/1/2017,1,2,3,4,6,9,9,9,9,9,9,9,9,9
Quarter from 2017-07,7/1/2017,10/1/2017,1,2,3,4,8,9,10,10,10,10,10,10,10,10
Quarter from 2017-10,10/1/2017,1/1/2018,1,2,3,5,8,9,10,10,10,10,10,10,10,10
Quarter from 2018-01,1/1/2018,4/1/2018,1,2,3,5,7,9,10,10,10,10,10,10,10,10
Quarter from 2018-04,4/1/2018,7/1/2018,1,2,3,5,8,8,8,8,8,8,8,8,8,8
