Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
2015-01-06,2015-01-06,2015-02-06,1,1,1,3,7,7,8,11,11,11,11,11,11,11
2015-02-06,2015-02-06,2015-03-06,1,1,2,3,6,9,11,12,16,21,21,21,21,21
2015-03-06,2015-03-06,2015-04-06,1,1,1,3,7,8,13,16,19,20,20,20,20,20
2015-04-06,2015-04-06,2015-05-06,1,1,1,2,7,8,11,15,16,23,23,23,23,23
2015-05-06,2015-05-06,2015-06-06,1,1,1,2,6,11,14,15,18,25,25,25,25,25
2015-06-06,2015-06-06,2015-07-06,1,1,2,3,7,11,12,13,15,23,23,23,23,23
2015-07-06,2015-07-06,2015-08-06,1,1,1,3,8,11,14,14,16,25,30,30,30,30
2015-08-06,2015-08-06,2015-09-06,1,2,2,4,7,7,9,12,14,22,30,30,30,30
2015-09-06,2015-09-06,2015-10-06,1,1,2,3,5,10,14,18,21,26,32,32,32,32
2015-10-06,2015-10-06,2015-11-06,1,2,2,4,7,8,10,14,16,22,37,37,37,37
2015-11-06,2015-11-06,2015-12-06,1,2,2,3,8,11,14,17,19,23,32,32,32,32
2015-12-06,2015-12-06,2016-01-06,1,2,3,4,7,10,11,14,17,24,24,24,24,24
2016-01-06,2016-01-06,2016-02-06,1,2,2,4,8,9,12,14,15,22,33,33,33,33
2016-02-06,2016-02-06,2016-03-06,1,2,3,4,9,9,11,13,15,23,30,30,30,30
2016-03-06,2016-03-06,2016-04-06,1,2,3,5,8,10,12,14,16,24,31,31,31,31
2016-04-06,2016-04-06,2016-05-06,1,2,3,5,8,10,13,15,16,20,31,31,31,31
2016-05-06,2016-05-06,2016-06-06,1,2,3,5,8,10,13,15,18,23,43,44,44,44
2016-06-06,2016-06-06,2016-07-06,1,2,3,5,7,9,11,12,12,18,40,45,45,45
2016-07-06,2016-07-06,2016-08-06,1,2,3,4,8,9,12,12,14,20,38,39,39,39
2016-08-06,2016-08-06,2016-09-06,1,2,3,4,7,10,12,16,19,24,40,44,44,44
2016-09-06,2016-09-06,2016-10-06,1,2,3,5,8,11,14,16,19,27,36,44,44,44
2016-10-06,2016-10-06,2016-11-06,1,2,2,4,7,10,12,15,18,27,40,48,48,48
2016-11-06,2016-11-06,2016-12-06,1,2,3,4,8,11,12,12,12,20,27,42,42,42
2016-12-06,2016-12-06,2017-01-06,1,2,3,5,8,9,9,11,13,16,25,30,30,30
2017-01-06,2017-01-06,2017-02-06,1,2,3,5,7,9,12,14,17,21,37,45,45,45
2017-02-06,2017-02-06,2017-03-06,1,2,2,4,8,9,11,13,16,24,32,47,47,47
2017-03-06,2017-03-06,2017-04-06,1,2,3,4,7,10,12,13,15,20,32,54,54,54
2017-04-06,2017-04-06,2017-05-06,1,2,3,3,6,8,10,10,12,19,35,45,45,45
2017-05-06,2017-05-06,2017-06-06,1,2,3,3,7,9,11,12,13,13,30,47,47,47
2017-06-06,2017-06-06,2017-07-06,1,2,3,4,5,9,12,15,16,22,34,40,40,40
2017-07-06,2017-07-06,2017-08-06,1,2,3,4,7,10,13,16,17,22,32,53,53,53
2017-08-06,2017-08-06,2017-09-06,1,2,3,4,8,10,12,12,15,22,33,61,61,61
2017-09-06,2017-09-06,2017-10-06,1,2,3,4,8,10,12,16,18,23,30,48,48,48
2017-10-06,2017-10-06,2017-11-06,1,2,3,4,8,9,12,14,17,20,33,53,56,56
2017-11-06,2017-11-06,2017-12-06,1,2,3,5,9,11,14,18,19,25,33,52,52,52
2017-12-06,2017-12-06,2018-01-06,1,2,3,5,8,9,13,15,17,20,30,46,46,46
2018-01-06,2018-01-06,2018-02-06,1,2,3,5,7,10,12,15,17,23,29,43,48,48
2018-02-06,2018-02-06,2018-03-06,1,2,3,5,7,10,12,13,14,18,22,43,43,43
2018-03-06,2018-03-06,2018-04-06,1,2,3,5,8,11,11,11,15,16,20,32,32,32
2018-04-06,2018-04-06,2018-05-06,1,2,3,5,6,8,9,10,12,14,16,16,16,16
Quarter from 2014-01,2014-01-01,2014-04-01,0,1,1,3,4,4,4,4,4,4,4,4,4,4
Quarter from 2014-04,2014-04-01,2014-07-01,0,1,2,4,4,4,4,4,4,4,4,4,4,4
Quarter from 2014-07,2014-07-01,2014-10-01,1,1,1,3,4,4,4,4,4,4,4,4,4,4
Quarter from 2014-10,2014-10-01,2015-01-01,0,1,1,3,5,5,5,5,5,5,5,5,5,5
Quarter from 2015-01,2015-01-01,2015-04-01,1,1,1,3,7,9,13,15,17,27,34,34,34,34
Quarter from 2015-04,2015-04-01,2015-07-01,1,1,1,2,7,10,13,17,18,28,44,46,46,46
Quarter from 2015-07,2015-07-01,2015-10-01,1,1,2,3,7,11,14,16,19,27,44,60,60,60
Quarter from 2015-10,2015-10-01,2016-01-01,1,2,2,3,7,10,14,16,16,28,45,62,62,62
Quarter from 2016-01,2016-01-01,2016-04-01,1,2,2,4,8,10,12,14,15,23,36,62,62,62
Quarter from 2016-04,2016-04-01,2016-07-01,1,2,3,5,8,9,13,13,16,25,38,61,82,82
Quarter from 2016-07,2016-07-01,2016-10-01,1,2,3,4,7,10,13,16,19,29,45,71,88,88
Quarter from 2016-10,2016-10-01,2017-01-01,1,2,3,4,7,11,13,16,18,25,42,55,81,81
Quarter from 2017-01,2017-01-01,2017-04-01,1,2,2,4,8,10,12,13,14,21,37,60,104,104
Quarter from 2017-04,2017-04-01,2017-07-01,1,2,3,4,6,8,11,14,15,19,36,52,85,85
Quarter from 2017-07,2017-07-01,2017-10-01,1,2,3,4,7,10,12,15,18,24,36,55,107,107
Quarter from 2017-10,2017-10-01,2018-01-01,1,2,3,5,8,9,12,14,18,29,41,56,103,106
Quarter from 2018-01,2018-01-01,2018-04-01,1,2,3,5,7,9,12,15,17,24,31,42,79,79
Quarter from 2018-04,2018-04-01,2018-07-01,1,2,3,5,8,9,9,10,10,13,20,20,20,20
