Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
Quarter from 2014-04,4/1/2014,7/1/2014,1,1,2,3,5,6,7,8,11,18,37,44,44,44
Quarter from 2014-07,7/1/2014,10/1/2014,1,1,2,2,4,4,4,4,6,14,30,56,80,80
Quarter from 2014-10,10/1/2014,1/1/2015,1,1,1,1,4,4,5,6,7,12,25,63,110,110
Quarter from 2015-01,1/1/2015,4/1/2015,1,2,2,2,4,4,7,7,7,9,18,56,134,156
Quarter from 2015-04,4/1/2015,7/1/2015,1,1,2,3,3,4,4,5,5,10,18,53,137,206
Quarter from 2015-07,7/1/2015,10/1/2015,1,1,2,2,2,2,4,5,7,11,18,51,137,250
Quarter from 2015-10,10/1/2015,1/1/2016,1,2,2,2,4,5,7,10,10,11,20,40,129,250
Quarter from 2016-01,1/1/2016,4/1/2016,1,1,1,1,3,5,7,10,12,13,23,44,125,232
Quarter from 2016-04,4/1/2016,7/1/2016,1,1,2,3,5,7,8,9,11,15,22,46,133,240
Quarter from 2016-07,7/1/2016,10/1/2016,1,2,3,4,5,7,10,12,13,14,22,40,113,221
Quarter from 2016-10,10/1/2016,1/1/2017,1,2,3,4,6,9,9,11,12,17,25,43,126,255
Quarter from 2017-01,1/1/2017,4/1/2017,1,2,3,4,6,8,11,12,13,18,31,49,134,282
Quarter from 2017-04,4/1/2017,7/1/2017,1,2,3,4,5,9,10,11,15,22,32,52,127,267
Quarter from 2017-07,7/1/2017,10/1/2017,1,1,1,3,4,8,11,13,15,22,36,56,131,274
Quarter from 2017-10,10/1/2017,1/1/2018,1,2,2,4,8,11,14,18,20,25,38,58,131,257
Quarter from 2018-01,1/1/2018,4/1/2018,1,2,3,4,7,11,12,14,16,24,35,59,109,204
Quarter from 2018-04,4/1/2018,7/1/2018,1,2,3,4,8,10,11,13,17,24,36,59,97,156
