Release,Date from,Date to,Distinct companies for top 1 contributors,Distinct companies for top 2 contributors,Distinct companies for top 3 contributors,Distinct companies for top 4 contributors,Distinct companies for top 5 contributors,Distinct companies for top 10 contributors,Distinct companies for top 15 contributors,Distinct companies for top 20 contributors,Distinct companies for top 25 contributors,Distinct companies for top 30 contributors,Distinct companies for top 50 contributors,Distinct companies for top 100 contributors,Distinct companies for top 200 contributors,Distinct companies for top 500 contributors,Distinct companies for top 1000 contributors
02/2015,2/1/2015,3/1/2015,1,1,1,1,2,3,3,3,4,4,7,26,40,40,40
03/2015,3/1/2015,4/1/2015,1,1,1,1,1,1,3,4,4,5,6,27,47,47,47
04/2015,4/1/2015,5/1/2015,1,1,1,1,1,2,3,3,3,4,8,24,50,54,54
05/2015,5/1/2015,6/1/2015,1,1,1,1,1,2,3,4,5,5,9,25,61,66,66
06/2015,6/1/2015,7/1/2015,1,1,1,1,1,2,3,4,4,5,9,25,60,66,66
07/2015,7/1/2015,8/1/2015,1,1,1,1,1,1,2,2,3,4,9,20,59,80,80
08/2015,8/1/2015,9/1/2015,1,1,1,1,1,2,2,3,3,5,10,28,63,103,103
09/2015,9/1/2015,10/1/2015,1,1,1,1,2,2,3,4,5,5,8,22,61,92,92
10/2015,10/1/2015,11/1/2015,1,2,2,2,2,2,2,3,4,5,8,19,56,75,75
11/2015,11/1/2015,12/1/2015,1,1,1,1,1,2,2,5,5,6,8,21,52,92,92
12/2015,12/1/2015,1/1/2016,1,1,1,1,1,2,2,3,3,4,6,23,54,81,81
01/2016,1/1/2016,2/1/2016,1,1,1,1,1,1,2,3,5,5,9,28,54,90,90
02/2016,2/1/2016,3/1/2016,1,1,1,1,2,2,2,3,3,4,10,18,55,95,95
03/2016,3/1/2016,4/1/2016,1,2,2,2,3,3,4,4,6,6,11,26,59,120,120
04/2016,4/1/2016,5/1/2016,1,2,2,2,2,2,2,3,3,3,6,25,62,120,120
05/2016,5/1/2016,6/1/2016,1,2,2,2,2,3,4,4,4,4,6,24,54,141,144
06/2016,6/1/2016,7/1/2016,1,2,2,3,3,3,5,5,5,5,8,20,49,117,133
07/2016,7/1/2016,8/1/2016,1,2,2,2,2,3,4,4,5,6,9,21,44,129,155
08/2016,8/1/2016,9/1/2016,1,2,2,3,3,3,3,3,3,4,9,15,36,111,148
09/2016,9/1/2016,10/1/2016,1,2,2,2,2,2,4,4,4,4,7,17,44,120,160
10/2016,10/1/2016,11/1/2016,1,2,3,3,3,4,4,6,6,7,9,20,43,123,208
11/2016,11/1/2016,12/1/2016,1,1,2,2,3,5,5,5,6,7,11,15,46,133,208
12/2016,12/1/2016,1/1/2017,1,2,2,3,4,6,6,6,6,6,10,19,46,145,241
01/2017,1/1/2017,2/1/2017,1,2,2,2,3,5,8,8,8,8,10,20,52,148,268
02/2017,2/1/2017,3/1/2017,1,2,2,3,3,6,8,8,10,10,14,24,52,158,281
03/2017,3/1/2017,4/1/2017,1,2,3,3,4,5,8,11,11,13,13,25,53,144,264
04/2017,4/1/2017,5/1/2017,1,1,2,3,3,6,9,10,12,12,15,26,54,146,248
05/2017,5/1/2017,6/1/2017,1,1,1,1,2,4,6,8,9,11,18,29,56,158,254
06/2017,6/1/2017,7/1/2017,1,1,2,3,3,3,4,6,8,8,10,27,51,144,272
07/2017,7/1/2017,8/1/2017,1,1,1,1,2,6,8,10,12,13,19,28,54,157,292
08/2017,8/1/2017,9/1/2017,1,2,2,2,2,4,7,9,9,10,15,29,56,144,275
09/2017,9/1/2017,10/1/2017,1,1,1,1,2,5,5,8,9,10,20,28,50,141,264
10/2017,10/1/2017,11/1/2017,0,1,2,3,3,6,9,11,12,12,19,26,46,130,253
11/2017,11/1/2017,12/1/2017,1,2,2,3,3,6,9,10,13,13,16,23,51,122,217
12/2017,12/1/2017,1/1/2018,1,1,2,3,4,7,9,12,15,15,20,27,60,132,242
01/2018,1/1/2018,2/1/2018,1,2,3,4,5,7,8,9,12,15,19,25,46,112,210
02/2018,2/1/2018,3/1/2018,1,2,3,4,4,5,7,9,11,12,17,28,46,100,171
03/2018,3/1/2018,4/1/2018,1,2,3,4,4,8,10,12,13,14,19,33,44,99,153
04/2018,4/1/2018,5/1/2018,1,2,3,4,5,9,11,11,12,13,24,35,50,96,135
Quarter from 04/2014,4/1/2014,7/1/2014,1,1,1,1,2,4,6,7,9,11,17,17,17,17,17
Quarter from 07/2014,7/1/2014,10/1/2014,1,1,2,2,2,2,2,2,2,5,10,25,45,45,45
Quarter from 10/2014,10/1/2014,1/1/2015,1,1,1,1,1,2,2,4,5,6,12,30,57,67,67
Quarter from 01/2015,1/1/2015,4/1/2015,1,1,1,1,1,2,3,3,4,4,5,26,57,80,80
Quarter from 04/2015,4/1/2015,7/1/2015,1,1,1,1,1,1,2,4,5,5,6,23,53,116,116
Quarter from 07/2015,7/1/2015,10/1/2015,1,1,1,1,1,1,1,3,4,4,9,20,66,140,164
Quarter from 10/2015,10/1/2015,1/1/2016,1,1,1,1,1,1,3,3,4,4,9,20,48,145,167
Quarter from 01/2016,1/1/2016,4/1/2016,1,1,1,1,1,3,4,4,5,5,7,22,57,132,195
Quarter from 04/2016,4/1/2016,7/1/2016,1,2,2,2,2,4,4,4,5,6,6,20,52,137,245
Quarter from 07/2016,7/1/2016,10/1/2016,1,2,2,2,2,3,3,3,3,4,6,15,38,115,216
Quarter from 10/2016,10/1/2016,1/1/2017,1,2,3,4,4,5,5,5,6,7,9,16,40,142,274
Quarter from 01/2017,1/1/2017,4/1/2017,1,2,3,3,3,5,7,7,9,9,13,24,47,156,294
Quarter from 04/2017,4/1/2017,7/1/2017,1,2,2,2,2,5,6,7,9,10,14,28,51,155,291
Quarter from 07/2017,7/1/2017,10/1/2017,1,1,2,2,2,4,6,8,10,11,17,30,48,154,298
Quarter from 10/2017,10/1/2017,1/1/2018,1,1,1,2,3,7,10,12,12,13,17,26,44,131,261
Quarter from 01/2018,1/1/2018,4/1/2018,1,2,3,4,4,6,9,11,14,15,19,31,43,105,200
