Release,Date from,Date to,Top 1 contributors contributions as percent of all,Top 2 contributors contributions as percent of all,Top 3 contributors contributions as percent of all,Top 5 contributors contributions as percent of all,Top 10 contributors contributions as percent of all,Top 15 contributors contributions as percent of all,Top 20 contributors contributions as percent of all,Top 25 contributors contributions as percent of all,Top 30 contributors contributions as percent of all,Top 50 contributors contributions as percent of all,Top 100 contributors contributions as percent of all,Top 200 contributors contributions as percent of all,Top 500 contributors contributions as percent of all,Top 1000 contributors contributions as percent of all
v2.2.0 - now,3/8/2018,4/13/2018,31.9%,39.3%,46.5%,53.7%,64.8%,69.7%,72.4%,74.7%,76.5%,81.5%,88.9%,98.1%,100.0%,100.0%
02/2014,2/6/2014,3/6/2014,50.0%,75.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2014,3/6/2014,4/6/2014,57.4%,78.7%,91.5%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2014,4/6/2014,5/6/2014,76.0%,88.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2014,5/6/2014,6/6/2014,46.4%,85.7%,96.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
06/2014,6/6/2014,7/6/2014,50.0%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2014,7/6/2014,8/6/2014,45.9%,86.5%,91.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
08/2014,8/6/2014,9/6/2014,55.8%,81.4%,97.7%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
09/2014,9/6/2014,10/6/2014,65.5%,93.1%,96.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
10/2014,10/6/2014,11/6/2014,57.4%,82.0%,95.1%,98.4%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
11/2014,11/6/2014,12/6/2014,89.4%,93.6%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
12/2014,12/6/2014,1/6/2015,42.4%,61.6%,80.0%,96.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
01/2015,1/6/2015,2/6/2015,41.2%,65.7%,82.7%,95.3%,98.0%,98.8%,99.4%,99.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
02/2015,2/6/2015,3/6/2015,38.1%,61.7%,74.1%,85.9%,93.0%,95.3%,96.6%,97.8%,98.5%,100.0%,100.0%,100.0%,100.0%,100.0%
03/2015,3/6/2015,4/6/2015,48.9%,73.3%,79.0%,85.9%,92.4%,95.7%,97.4%,98.6%,99.8%,100.0%,100.0%,100.0%,100.0%,100.0%
04/2015,4/6/2015,5/6/2015,22.0%,40.3%,51.8%,72.1%,90.3%,92.5%,94.1%,95.7%,96.9%,100.0%,100.0%,100.0%,100.0%,100.0%
05/2015,5/6/2015,6/6/2015,36.7%,65.8%,77.0%,85.9%,92.8%,95.1%,96.3%,97.3%,97.9%,99.9%,100.0%,100.0%,100.0%,100.0%
06/2015,6/6/2015,7/6/2015,34.0%,64.5%,72.5%,82.8%,92.1%,94.5%,96.0%,97.2%,97.8%,100.0%,100.0%,100.0%,100.0%,100.0%
07/2015,7/6/2015,8/6/2015,30.0%,45.1%,57.3%,69.7%,81.4%,86.5%,90.1%,92.6%,94.2%,98.8%,100.0%,100.0%,100.0%,100.0%
08/2015,8/6/2015,9/6/2015,30.1%,49.8%,67.7%,81.9%,87.1%,89.8%,91.7%,93.0%,94.2%,97.7%,100.0%,100.0%,100.0%,100.0%
09/2015,9/6/2015,10/6/2015,30.3%,53.5%,69.0%,80.8%,89.2%,91.0%,92.4%,93.4%,94.3%,97.6%,100.0%,100.0%,100.0%,100.0%
10/2015,10/6/2015,11/6/2015,21.7%,41.1%,60.0%,76.7%,82.5%,85.4%,87.5%,89.0%,90.4%,95.0%,100.0%,100.0%,100.0%,100.0%
11/2015,11/6/2015,12/6/2015,28.4%,47.6%,57.6%,71.4%,81.2%,85.5%,88.2%,90.1%,92.1%,96.1%,100.0%,100.0%,100.0%,100.0%
12/2015,12/6/2015,1/6/2016,34.3%,58.6%,65.7%,75.1%,85.0%,88.8%,91.4%,93.4%,94.7%,99.7%,100.0%,100.0%,100.0%,100.0%
01/2016,1/6/2016,2/6/2016,21.9%,40.5%,54.9%,73.5%,85.7%,88.3%,90.1%,91.5%,92.7%,96.0%,100.0%,100.0%,100.0%,100.0%
02/2016,2/6/2016,3/6/2016,27.0%,44.9%,57.0%,76.6%,86.7%,89.2%,91.2%,92.7%,94.2%,97.5%,100.0%,100.0%,100.0%,100.0%
03/2016,3/6/2016,4/6/2016,19.2%,35.5%,50.8%,64.5%,79.6%,84.2%,87.0%,89.5%,91.1%,95.6%,100.0%,100.0%,100.0%,100.0%
04/2016,4/6/2016,5/6/2016,21.4%,35.8%,46.6%,65.7%,84.8%,87.8%,89.8%,91.6%,92.7%,96.0%,100.0%,100.0%,100.0%,100.0%
05/2016,5/6/2016,6/6/2016,17.1%,30.5%,43.0%,60.1%,71.4%,75.0%,77.9%,80.4%,82.4%,88.8%,97.2%,100.0%,100.0%,100.0%
06/2016,6/6/2016,7/6/2016,36.3%,47.7%,58.6%,64.0%,72.4%,76.9%,79.8%,82.1%,84.2%,90.5%,98.7%,100.0%,100.0%,100.0%
07/2016,7/6/2016,8/6/2016,19.3%,37.3%,51.7%,67.1%,79.1%,82.4%,84.4%,85.8%,87.1%,92.1%,98.8%,100.0%,100.0%,100.0%
08/2016,8/6/2016,9/6/2016,18.4%,34.5%,47.2%,65.0%,78.3%,80.8%,82.5%,84.3%,86.0%,91.0%,97.5%,100.0%,100.0%,100.0%
09/2016,9/6/2016,10/6/2016,14.6%,28.4%,39.9%,59.1%,75.7%,78.9%,81.1%,82.9%,84.7%,89.8%,97.0%,100.0%,100.0%,100.0%
10/2016,10/6/2016,11/6/2016,24.9%,41.4%,51.8%,65.6%,76.5%,79.8%,81.9%,83.5%,84.8%,90.1%,97.1%,100.0%,100.0%,100.0%
11/2016,11/6/2016,12/6/2016,21.5%,34.6%,47.2%,59.0%,66.8%,70.6%,72.9%,75.2%,76.9%,83.2%,93.0%,100.0%,100.0%,100.0%
12/2016,12/6/2016,1/6/2017,20.4%,39.1%,46.1%,58.1%,66.5%,70.2%,73.2%,75.5%,77.3%,84.3%,94.7%,100.0%,100.0%,100.0%
01/2017,1/6/2017,2/6/2017,21.6%,31.2%,39.2%,50.8%,64.7%,70.2%,73.8%,76.2%,78.1%,84.3%,93.1%,100.0%,100.0%,100.0%
02/2017,2/6/2017,3/6/2017,23.2%,41.0%,56.9%,67.0%,76.5%,78.9%,80.9%,82.5%,83.9%,88.2%,94.9%,100.0%,100.0%,100.0%
03/2017,3/6/2017,4/6/2017,24.0%,36.2%,43.3%,57.0%,70.5%,74.1%,76.0%,77.4%,78.9%,82.9%,90.3%,100.0%,100.0%,100.0%
04/2017,4/6/2017,5/6/2017,20.3%,32.2%,43.8%,57.5%,75.1%,80.6%,83.0%,84.7%,86.1%,89.8%,95.3%,100.0%,100.0%,100.0%
05/2017,5/6/2017,6/6/2017,18.7%,32.6%,40.5%,52.7%,71.6%,77.3%,80.2%,81.9%,83.2%,87.4%,93.6%,100.0%,100.0%,100.0%
06/2017,6/6/2017,7/6/2017,20.5%,36.9%,45.9%,54.0%,67.3%,74.7%,78.8%,80.6%,82.2%,86.6%,93.1%,100.0%,100.0%,100.0%
07/2017,7/6/2017,8/6/2017,30.1%,37.0%,43.7%,53.1%,67.8%,72.6%,75.7%,77.5%,78.9%,83.3%,90.3%,100.0%,100.0%,100.0%
08/2017,8/6/2017,9/6/2017,16.9%,28.5%,37.1%,48.4%,62.5%,68.9%,72.5%,75.0%,76.7%,81.8%,90.1%,100.0%,100.0%,100.0%
09/2017,9/6/2017,10/6/2017,15.5%,30.7%,40.9%,52.1%,64.1%,68.9%,72.3%,74.6%,76.5%,81.7%,89.5%,100.0%,100.0%,100.0%
10/2017,10/6/2017,11/6/2017,19.8%,31.6%,43.2%,53.9%,68.3%,73.2%,75.4%,77.0%,78.7%,83.2%,90.7%,99.1%,100.0%,100.0%
11/2017,11/6/2017,12/6/2017,19.4%,32.9%,40.5%,51.1%,66.7%,72.3%,75.6%,77.5%,78.9%,83.0%,90.1%,99.9%,100.0%,100.0%
12/2017,12/6/2017,1/6/2018,20.1%,28.5%,36.3%,46.4%,59.5%,66.3%,70.1%,72.5%,74.5%,79.9%,88.4%,100.0%,100.0%,100.0%
01/2018,1/6/2018,2/6/2018,15.9%,29.1%,36.5%,47.7%,60.7%,65.8%,68.9%,71.1%,72.9%,78.4%,87.5%,98.2%,100.0%,100.0%
02/2018,2/6/2018,3/6/2018,25.5%,37.6%,44.9%,55.8%,66.8%,71.5%,74.9%,77.4%,79.0%,83.2%,89.9%,100.0%,100.0%,100.0%
03/2018,3/6/2018,4/6/2018,32.3%,42.2%,49.3%,56.3%,66.6%,71.0%,73.8%,75.8%,77.6%,82.3%,89.4%,99.1%,100.0%,100.0%
04/2018,4/6/2018,5/6/2018,18.1%,33.5%,43.6%,53.2%,66.5%,72.9%,78.2%,81.9%,84.6%,95.2%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2014,1/1/2014,4/1/2014,53.2%,74.5%,91.5%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2014,4/1/2014,7/1/2014,64.4%,89.0%,94.5%,98.6%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 07/2014,7/1/2014,10/1/2014,48.8%,73.6%,95.0%,98.3%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 10/2014,10/1/2014,1/1/2015,52.9%,85.3%,90.6%,97.9%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 01/2015,1/1/2015,4/1/2015,41.3%,61.6%,76.7%,90.4%,94.1%,95.6%,96.4%,97.1%,97.6%,99.0%,100.0%,100.0%,100.0%,100.0%
Quarter from 04/2015,4/1/2015,7/1/2015,30.7%,58.3%,67.4%,80.7%,91.1%,92.8%,93.9%,94.8%,95.4%,97.3%,99.7%,100.0%,100.0%,100.0%
Quarter from 07/2015,7/1/2015,10/1/2015,25.8%,50.1%,62.9%,76.2%,85.4%,88.5%,90.1%,91.2%,92.0%,94.6%,98.1%,100.0%,100.0%,100.0%
Quarter from 10/2015,10/1/2015,1/1/2016,26.1%,47.4%,56.7%,70.2%,80.1%,82.6%,84.4%,85.9%,87.1%,90.8%,96.0%,100.0%,100.0%,100.0%
Quarter from 01/2016,1/1/2016,4/1/2016,20.8%,36.6%,52.1%,72.5%,83.6%,86.2%,87.4%,88.4%,89.2%,92.0%,96.2%,100.0%,100.0%,100.0%
Quarter from 04/2016,4/1/2016,7/1/2016,18.6%,34.3%,44.5%,58.5%,77.7%,80.1%,81.9%,83.2%,84.5%,87.8%,93.0%,97.9%,100.0%,100.0%
Quarter from 07/2016,7/1/2016,10/1/2016,18.0%,30.4%,41.8%,63.7%,76.7%,79.1%,80.7%,81.9%,82.9%,85.8%,90.8%,96.6%,100.0%,100.0%
Quarter from 10/2016,10/1/2016,1/1/2017,20.3%,33.4%,45.8%,57.3%,68.2%,71.3%,73.4%,74.8%,76.0%,80.0%,86.1%,94.0%,100.0%,100.0%
Quarter from 01/2017,1/1/2017,4/1/2017,20.8%,33.1%,42.5%,55.0%,69.2%,72.2%,74.1%,75.4%,76.5%,79.7%,84.7%,91.8%,100.0%,100.0%
Quarter from 04/2017,4/1/2017,7/1/2017,19.8%,32.6%,41.8%,52.1%,69.5%,75.4%,78.5%,80.3%,81.5%,84.4%,88.6%,93.6%,100.0%,100.0%
Quarter from 07/2017,7/1/2017,10/1/2017,21.4%,32.5%,41.7%,51.4%,62.7%,68.6%,71.5%,73.4%,74.7%,78.5%,83.6%,90.4%,100.0%,100.0%
Quarter from 10/2017,10/1/2017,1/1/2018,19.5%,29.8%,37.6%,49.9%,64.3%,69.0%,71.9%,73.5%,74.8%,78.3%,83.4%,89.6%,99.4%,100.0%
Quarter from 01/2018,1/1/2018,4/1/2018,24.4%,36.8%,42.9%,50.1%,61.8%,67.7%,70.7%,72.6%,73.8%,77.2%,82.4%,88.9%,99.2%,100.0%
Quarter from 04/2018,4/1/2018,7/1/2018,21.8%,32.7%,42.5%,53.4%,65.5%,71.7%,75.5%,78.5%,81.4%,88.5%,100.0%,100.0%,100.0%,100.0%
